,Title,Release Year,Genre,Imdb Rating,Runtime,Age Rating,Country origin,Url,Streaming Provider,Type
45,DJ Tillu,2022,"Romance, Action & Adventure, Comedy, Crime",7.2,2h 1min,NA,India,https://www.justwatch.com/in/movie/sam-bahadur,Sony Liv,Movie
46,Bramayugam,2024,"Horror, Mystery & Thriller",7.9,2h 19min,UA,India,https://www.justwatch.com/in/movie/kingdom-of-the-planet-of-the-apes,Sony Liv,Movie
47,Kingdom of the Planet of the Apes,2024,"Science-Fiction, Action & Adventure",7.2,2h 25min,NA,United States,https://www.justwatch.com/in/movie/aadujeevitham,Bookmyshow,Movie
48,"The Gangster, the Cop, the Devil",2019,"Mystery & Thriller, Crime, Action & Adventure",6.9,1h 49min,NA,South Korea,https://www.justwatch.com/in/movie/bramayugam,NA,Movie
49,The Goat Life,2024,Drama,8.6,2h 52min,NA,"United States, India",https://www.justwatch.com/in/movie/dj-tillu,NA,Movie
50,Exhuma,2024,"Mystery & Thriller, Horror",7.0,2h 14min,NA,South Korea,https://www.justwatch.com/in/movie/exhuma,NA,Movie
51,Siddharth Roy,2024,"Drama, Romance",8.1,2h 28min,A,India,https://www.justwatch.com/in/movie/siddharth-roy,aha,Movie
52,Poor Things,2023,"Science-Fiction, Romance, Comedy, Drama",7.9,2h 22min,A,"United Kingdom, United States, Ireland",https://www.justwatch.com/in/movie/aranmanai-4,Apple TV,Movie
53,Wild Tales,2014,"Drama, Mystery & Thriller, Comedy, Made in Europe",8.1,2h 2min,NA,"Spain, Argentina",https://www.justwatch.com/in/movie/wild-tales,NA,Movie
54,Bade Miyan Chote Miyan,2024,"Science-Fiction, Mystery & Thriller, Action & Adventure, Comedy",5.0,2h 44min,NA,India,https://www.justwatch.com/in/movie/bade-miyan-chote-miyan-2023,NA,Movie
55,Aranmanai 4,2024,"Horror, Comedy",6.4,2h 28min,NA,India,https://www.justwatch.com/in/movie/poor-things,NA,Movie
56,Bastar: The Naxal Story,2024,"Crime, Drama, War & Military, Action & Adventure",6.5,2h 4min,NA,India,https://www.justwatch.com/in/movie/bastar,NA,Movie
57,DeAr,2024,"Romance, Kids & Family, Drama",5.1,2h 14min,NA,India,https://www.justwatch.com/in/movie/8-a-m-metro,Netflix,Movie
58,Migration,2023,"Kids & Family, Animation, Action & Adventure, Comedy",6.7,NA,NA,United States,https://www.justwatch.com/in/movie/dear-2024,NA,Movie
59,8 A.M. Metro,2023,Drama,7.4,NA,NA,India,https://www.justwatch.com/in/movie/migration,NA,Movie
60,Late Night with the Devil,2024,Horror,7.1,1h 33min,NA,"United States, Australia, United Arab Emirates",https://www.justwatch.com/in/movie/war-for-the-planet-of-the-apes,NA,Movie
61,Skanda: The Attacker,2023,"Action & Adventure, Drama, Romance",4.2,2h 47min,UA,India,https://www.justwatch.com/in/movie/boyapatirapo,Hotstar,Movie
62,War for the Planet of the Apes,2017,"Drama, Science-Fiction, Action & Adventure, Mystery & Thriller",7.4,2h 20min,NA,United States,https://www.justwatch.com/in/movie/the-judge,Apple TV,Movie
63,Fighter,2024,"Mystery & Thriller, War & Military, Action & Adventure",6.2,2h 47min,UA,India,https://www.justwatch.com/in/movie/late-night-with-the-devil,Netflix,Movie
64,Pushpa: The Rise,2021,"Action & Adventure, Drama, Mystery & Thriller, Crime",7.6,2h 59min,NA,India,https://www.justwatch.com/in/movie/may-december,Amazon Prime Video,Movie
65,May December,2023,"Drama, Comedy",6.8,1h 57min,NA,United States,https://www.justwatch.com/in/movie/pushpa,Amazon Prime Video,Movie
66,The Judge,2014,"Drama, Mystery & Thriller, Crime, Made in Europe",7.4,2h 21min,NA,United States,https://www.justwatch.com/in/movie/the-ministry-of-ungentlemanly-warfare,Apple TV,Movie
67,Kung Fu Panda,2008,"Action & Adventure, Animation, Kids & Family, Comedy, Fantasy",7.6,1h 35min,NA,United States,https://www.justwatch.com/in/movie/fighter-2022,NA,Movie
68,The Ministry of Ungentlemanly Warfare,2024,"Action & Adventure, Drama, War & Military",6.9,2h 0min,NA,"Turkey, United States, United Kingdom",https://www.justwatch.com/in/movie/kung-fu-panda,NA,Movie
69,Veppam Kulir Mazhai,2024,Mystery & Thriller,8.2,2h 12min,NA,India,https://www.justwatch.com/in/movie/veppam-kulir-mazhai,NA,Movie
70,Dawn of the Planet of the Apes,2014,"Science-Fiction, Action & Adventure, Drama, Mystery & Thriller, Made in Europe",7.6,2h 10min,NA,"United States, United Kingdom",https://www.justwatch.com/in/movie/abigail-2024,Apple TV,Movie
71,Abigail,2024,"Horror, Mystery & Thriller",6.7,1h 49min,NA,United States,https://www.justwatch.com/in/movie/dawn-of-the-planet-of-the-apes,NA,Movie
72,Geethanjali Malli Vachindi,2024,"Horror, Comedy",5.8,2h 24min,NA,India,https://www.justwatch.com/in/movie/rathnam,Amazon Prime Video,Movie
73,K.G.F: Chapter 2,2022,"Action & Adventure, Crime, Drama, Mystery & Thriller",8.3,2h 46min,NA,India,https://www.justwatch.com/in/movie/hridayam,Amazon Prime Video,Movie
74,K.G.F: Chapter 1,2018,"Mystery & Thriller, Action & Adventure, Crime, Drama",8.2,2h 36min,NA,India,https://www.justwatch.com/in/movie/k-g-f-chapter-1,Hotstar,Movie
75,The Kerala Story,2023,Drama,6.9,2h 18min,NA,India,https://www.justwatch.com/in/movie/wonka,NA,Movie
76,Wonka,2023,"Comedy, Kids & Family, Fantasy",7.0,1h 57min,NA,"United Kingdom, United States",https://www.justwatch.com/in/movie/the-kerala-story,NA,Movie
77,Hridayam,2022,"Drama, Romance",8.1,2h 52min,NA,NA,https://www.justwatch.com/in/movie/geethanjali-malli-vachindi,NA,Movie
78,The Wolf of Wall Street,2013,"Drama, Comedy, Crime",8.2,3h 0min,NA,NA,https://www.justwatch.com/in/movie/k-g-f-chapter-2,NA,Movie
79,Bhimaa,2024,"Fantasy, Action & Adventure",5.9,2h 21min,NA,NA,https://www.justwatch.com/in/movie/the-wolf-of-wall-street,NA,Movie
80,Krishnamma,2024,"Action & Adventure, Drama",6.5,2h 10min,NA,India,https://www.justwatch.com/in/movie/bhimaa,Amazon Prime Video,Movie
81,Civil War,2024,"Mystery & Thriller, Action & Adventure, Drama, War & Military",7.4,1h 49min,NA,"United Kingdom, United States",https://www.justwatch.com/in/movie/the-intern,NA,Movie
82,Kaagaz 2,2024,Drama,6.3,2h 5min,NA,India,https://www.justwatch.com/in/movie/civil-war-2024-0,Amazon Prime Video,Movie
83,Rathnam,2024,"Action & Adventure, Romance",7.3,2h 39min,NA,India,https://www.justwatch.com/in/movie/kaagaz-2,NA,Movie
